09-08-2024 12:57:51: Training starting...
09-08-2024 12:57:53: New best reward 499902.685239397 (-105.0%) at episode 0, saving model...
09-08-2024 12:57:53: New best reward 499905.2600616497 (+0.0%) at episode 16, saving model...
09-08-2024 12:57:53: New best reward 499927.6108943244 (+0.0%) at episode 17, saving model...
09-08-2024 12:57:53: New best reward 499944.2989245244 (+0.0%) at episode 21, saving model...
09-08-2024 12:57:55: New best reward 499945.8908733939 (+0.0%) at episode 105, saving model...
09-08-2024 12:57:55: New best reward 499951.8946501702 (+0.0%) at episode 122, saving model...
09-08-2024 12:57:56: New best reward 499955.80393906723 (+0.0%) at episode 184, saving model...
09-08-2024 12:57:57: New best reward 499959.10415247804 (+0.0%) at episode 228, saving model...
09-08-2024 12:58:00: New best reward 499962.3226802941 (+0.0%) at episode 415, saving model...
09-08-2024 12:58:40: New best reward 499971.3345581789 (+0.0%) at episode 1910, saving model...
